DATE-YMD,CHLA= NASA-combo satellite Chlorophyll (mg/m3),
2006-08-15,       1.418,
2006-09-15,       2.002,
2006-10-15,       2.328,
2006-11-15,       2.481,
2007-01-15,       2.663,
2007-02-15,       2.839,
2007-03-15,       2.372,
2007-04-15,       5.336,
2007-05-15,       6.678,
2007-06-15,       1.946,
2007-07-15,       1.646,
2007-08-15,       1.495,
2007-09-15,       1.752,
2007-10-15,       1.544,
2007-11-15,       1.552,
2008-01-15,       2.172,
2008-02-15,       2.655,
2008-03-15,       2.572,
2008-04-15,       2.632,
2008-05-15,       2.243,
2008-06-15,       2.182,
2008-07-15,       1.357,
2008-08-15,       1.784,
2008-09-15,       2.037,
2008-10-15,       1.815,
2008-11-15,       3.118,
2009-01-15,       2.190,
2009-02-15,       2.226,
2009-03-15,       2.834,
2009-04-15,       2.857,
2009-05-15,       8.490,
2009-06-15,       1.568,
2009-07-15,       1.393,
2009-08-15,       1.464,
2009-09-15,       1.794,
2009-10-15,       1.763,
2009-11-15,       2.395,
2010-01-15,       2.536,
2010-02-15,       2.667,
2010-03-15,       2.699,
2010-04-15,       2.951,
2010-05-15,       7.282,
2010-06-15,       2.540,
2010-07-15,       1.854,
2010-08-15,       1.569,
2010-09-15,       1.830,
2010-10-15,       2.494,
2010-11-15,       2.216,
2011-01-15,       2.357,
2011-02-15,       2.428,
2011-03-15,       3.027,
2011-04-15,       4.830,
2011-05-15,       8.402,
2011-06-15,       1.832,
2011-07-15,       1.422,
2011-08-15,       1.697,
2011-09-15,       2.019,
2011-10-15,       2.010,
2011-11-15,       2.107,
2012-01-15,       2.314,
2012-02-15,       2.400,
2012-03-15,       3.089,
2012-04-15,       3.232,
2012-05-15,       2.138,
2012-06-15,       1.519,
2012-07-15,       1.757,
2012-08-15,       1.647,
2012-09-15,       1.875,
2012-10-15,       1.666,
2012-11-15,       1.436,
2013-01-15,       3.200,
2013-02-15,       2.422,
2013-03-15,       2.240,
2013-04-15,       3.630,
2013-05-15,       3.328,
2013-06-15,      10.168,
2013-07-15,       1.476,
2013-08-15,       1.486,
2013-09-15,       1.833,
2013-10-15,       1.949,
2013-11-15,       3.018,
2014-02-15,       3.107,
2014-03-15,       2.802,
2014-04-15,       3.201,
2014-05-15,       5.579,
2014-06-15,       2.633,
2014-07-15,       2.171,
2014-08-15,       1.974,
2014-09-15,       1.840,
2014-10-15,       2.627,
2014-11-15,       2.731,
2015-01-15,       3.074,
2015-02-15,       2.486,
2015-03-15,       2.930,
2015-04-15,       3.153,
2015-05-15,       7.411,
2015-06-15,       1.979,
2015-07-15,       1.701,
2015-08-15,       1.657,
2015-09-15,       2.082,
2015-10-15,       2.267,
2015-11-15,       1.278,
2016-01-15,       3.445,
2016-02-15,       3.122,
2016-03-15,       2.891,
2016-04-15,       3.020,
2016-05-15,       4.499,
2016-06-15,       2.390,
2016-07-15,       1.441,
2016-08-15,       1.869,
2016-09-15,       1.911,
2016-10-15,       1.962,
2016-11-15,       3.024,
2017-01-15,       1.931,
2017-02-15,       2.345,
2017-03-15,       2.875,
2017-04-15,       2.434,
2017-05-15,       3.298,
2017-06-15,       1.558,
2017-07-15,       1.489,
2017-08-15,       1.714,
2017-09-15,       1.979,
2017-10-15,       1.605,
2017-11-15,       2.171,
2018-01-15,       2.299,
2018-02-15,       2.654,
2018-03-15,       2.664,
2018-04-15,       2.447,
2018-05-15,       5.177,
2018-06-15,       1.754,
2018-07-15,       1.592,
2018-08-15,       1.873,
2018-09-15,       1.645,
2018-10-15,       1.739,
2018-11-15,       1.836,
2019-01-15,       2.440,
2019-02-15,       2.638,
2019-03-15,       3.450,
2019-04-15,       8.869,
2019-05-15,       9.814,
2019-06-15,       1.833,
2019-07-15,       1.542,
2019-08-15,       1.905,
2019-09-15,       2.191,
2019-10-15,       2.702,
2019-11-15,       2.427,
2020-01-15,       2.871,
2020-02-15,       2.548,
2020-03-15,       2.777,
2020-04-15,       7.157,
2020-05-15,       7.256,
2020-06-15,       2.142,
2020-07-15,       1.505,
2020-08-15,       1.590,
2020-09-15,       2.154,
2020-10-15,       2.419,
2020-11-15,       2.485,
2021-01-15,       0.648,
2021-02-15,       2.174,
2021-03-15,       3.016,
2021-04-15,      15.722,
2021-05-15,       2.077,
2021-06-15,       1.676,
2021-07-15,       1.812,
2021-08-15,       1.725,
2021-09-15,       2.287,
2021-10-15,       2.057,
2021-11-15,       2.350,
